id,name,category,roll_timing,timing_confirmed,note
attack_roll,Attack roll,ABILITY,PRE_ROLL,Y,
damage,Damage dealt,ABILITY,POST_ROLL,Y,
defense,Defense / avoidance,ABILITY,POST_ROLL,Y,"Static target number the attacker rolls against, not a roll itself"
block,Blocking with a shield,ABILITY,POST_ROLL,Y,Sub-action reducing damage ~50%; uses raw STR/AGI against the damage roll
armor_protection,Armor protection value,ABILITY,POST_ROLL,Y,
initiative,Initiative / acting order,ABILITY,PRE_ROLL,Y,"Rolled as floor(AGI/100)k1, highest first; weapons carry action modifiers"
movement_speed,Movement speed,ABILITY,POST_ROLL,Y,
carry_capacity,Carry capacity / burden,ABILITY,POST_ROLL,Y,
endurance,Endurance / fatigue,ABILITY,POST_ROLL,Y,
vitality,Vitality / hit points,ABILITY,POST_ROLL,Y,
resistance_fear,Resistance to fear,ABILITY,POST_ROLL,Y,
resistance_climate,Resistance to climate,ABILITY,POST_ROLL,Y,
resistance_mana,Resistance to mana effects,ABILITY,POST_ROLL,Y,
resistance_pain,Resistance to pain / stun,ABILITY,POST_ROLL,Y,
resistance_mental,Resistance to mental influence,ABILITY,POST_ROLL,Y,
casting_speed,Casting speed,ABILITY,POST_ROLL,Y,
mana_cost,Mana cost,ABILITY,POST_ROLL,Y,
spell_effect,Spell effect magnitude,ABILITY,POST_ROLL,Y,
social_influence,Persuading or inspiring others,CIRCUMSTANTIAL,PRE_ROLL,Y,
social_deception,Deceiving or misdirecting,CIRCUMSTANTIAL,PRE_ROLL,Y,
social_insight,Reading people and motives,CIRCUMSTANTIAL,PRE_ROLL,Y,
information_gain,Information obtained,CIRCUMSTANTIAL,PRE_ROLL,Y,
detection,Noticing and detecting,CIRCUMSTANTIAL,PRE_ROLL,Y,
stealth,Remaining unnoticed,CIRCUMSTANTIAL,PRE_ROLL,Y,
profit,Money and profit,CIRCUMSTANTIAL,POST_ROLL,Y,"Gain minus expenditure — the outcome of a negotiation, not the roll"
craft_quality,Crafted output quality,ABILITY,PRE_ROLL,Y,"accumulated crafting roll + material index + forging tier bonus; perks influence the roll, not the result"
summon_power,Summoned or called allies,ABILITY,POST_ROLL,Y,
agi_coordination,Agi Coordination,ABILITY,POST_ROLL,Y,
agi_movement,Agi Movement,ABILITY,POST_ROLL,Y,
agi_reaction,Agi Reaction,ABILITY,POST_ROLL,Y,
int_focus,Int Focus,ABILITY,POST_ROLL,Y,
int_inspiration,Int Inspiration,ABILITY,POST_ROLL,Y,
per_judgement,Per Judgement,ABILITY,POST_ROLL,Y,
per_senses,Per Senses,ABILITY,POST_ROLL,Y,
str_arm_strenght,Str Arm Strenght,ABILITY,POST_ROLL,Y,
str_burden,Str Burden,ABILITY,POST_ROLL,Y,
str_muscle,Str Muscle,ABILITY,POST_ROLL,Y,
wil_fortitude,Wil Fortitude,ABILITY,POST_ROLL,Y,
wil_poise,Wil Poise,ABILITY,POST_ROLL,Y,
wil_supernatural,Wil Supernatural,ABILITY,POST_ROLL,Y,
acting_roll,Acting Roll,ABILITY,PRE_ROLL,Y,
alert_roll,Alert Roll,ABILITY,PRE_ROLL,Y,
animal_empathy_roll,Animal Empathy Roll,ABILITY,PRE_ROLL,Y,
apraisal_roll,Apraisal Roll,ABILITY,PRE_ROLL,Y,
astrology_roll,Astrology Roll,ABILITY,PRE_ROLL,Y,
athletism_roll,Athletism Roll,ABILITY,PRE_ROLL,Y,
basic_mana_discipline_roll,Basic Mana Discipline Roll,ABILITY,PRE_ROLL,Y,
battle_roll,Battle Roll,ABILITY,PRE_ROLL,Y,
bluff_roll,Bluff Roll,ABILITY,PRE_ROLL,Y,
brawling_roll,Brawling Roll,ABILITY,PRE_ROLL,Y,
building_simple_building_digging_etc_roll,Building Simple Building Digging Etc Roll,ABILITY,PRE_ROLL,Y,
comerce_roll,Comerce Roll,ABILITY,PRE_ROLL,Y,
cooking_roll,Cooking Roll,ABILITY,PRE_ROLL,Y,
craft_roll,Craft Roll,ABILITY,PRE_ROLL,Y,
dismantle_roll,Dismantle Roll,ABILITY,PRE_ROLL,Y,
dungeoneer_roll,Dungeoneer Roll,ABILITY,PRE_ROLL,Y,
farming_roll,Farming Roll,ABILITY,PRE_ROLL,Y,
formal_magics_roll,Formal Magics Roll,ABILITY,PRE_ROLL,Y,
haggle_roll,Haggle Roll,ABILITY,PRE_ROLL,Y,
healing_roll,Healing Roll,ABILITY,PRE_ROLL,Y,
heightened_senses_roll,Heightened Senses Roll,ABILITY,PRE_ROLL,Y,
herbalism_roll,Herbalism Roll,ABILITY,PRE_ROLL,Y,
intimidation_roll,Intimidation Roll,ABILITY,PRE_ROLL,Y,
investigation_roll,Investigation Roll,ABILITY,PRE_ROLL,Y,
knowledge_specific_roll,Knowledge Specific Roll,ABILITY,PRE_ROLL,Y,
light_weapons_handling_roll,Light Weapons Handling Roll,ABILITY,PRE_ROLL,Y,
linguistics_roll,Linguistics Roll,ABILITY,PRE_ROLL,Y,
lockpick_roll,Lockpick Roll,ABILITY,PRE_ROLL,Y,
magic_obj_roll,Magic Obj Roll,ABILITY,PRE_ROLL,Y,
magic_obj_scyring_roll,Magic Obj Scyring Roll,ABILITY,PRE_ROLL,Y,
mechanics_roll,Mechanics Roll,ABILITY,PRE_ROLL,Y,
melee_weapons_handling_roll,Melee Weapons Handling Roll,ABILITY,PRE_ROLL,Y,
mental_focus_roll,Mental Focus Roll,ABILITY,PRE_ROLL,Y,
minning_roll,Minning Roll,ABILITY,PRE_ROLL,Y,
nature_focus_roll,Nature Focus Roll,ABILITY,PRE_ROLL,Y,
observe_roll,Observe Roll,ABILITY,PRE_ROLL,Y,
perform_roll,Perform Roll,ABILITY,PRE_ROLL,Y,
piety_roll,Piety Roll,ABILITY,PRE_ROLL,Y,
projectile_weapons_handling_roll,Projectile Weapons Handling Roll,ABILITY,PRE_ROLL,Y,
rest_roll,Rest Roll,ABILITY,PRE_ROLL,Y,
riding_roll,Riding Roll,ABILITY,PRE_ROLL,Y,
sleight_of_hand_roll,Sleight Of Hand Roll,ABILITY,PRE_ROLL,Y,
spirit_sensitivity_roll,Spirit Sensitivity Roll,ABILITY,PRE_ROLL,Y,
still_mind_focus_roll,Still Mind Focus Roll,ABILITY,PRE_ROLL,Y,
tracking_roll,Tracking Roll,ABILITY,PRE_ROLL,Y,
trapper_roll,Trapper Roll,ABILITY,PRE_ROLL,Y,
wayfarer_roll,Wayfarer Roll,ABILITY,PRE_ROLL,Y,
wilderness_roll,Wilderness Roll,ABILITY,PRE_ROLL,Y,
