class_id,name,star,tree_id,branch_slot,variant,parent_class_id,parent_rule,attribute_tag,level_cap_gain,fate_cost,level_cost,criteria,grants,description,is_monster_class,side,source_row,criteria_source,data_issue
warrior,Warrior,0,warrior,A,1,,,,,,,,,,,L,3,NOT_APPLICABLE,
explorer,EXPLORER,0,explorer,A,1,,,,,,,,,,,R,3,NOT_APPLICABLE,
swordman,Swordman,1,warrior,A,1,warrior,ROOT,AGI,30,1,1,"Defeat 100 opponents using only the blade, refusing every other advantage offered","Gain Advanced Knowledge (Weapon, Armor, Intimidation, Discipline)",The Warrior focuses on his weapon and becomes one with it,,L,7,SUGGESTED,
barbarian,Barbarian,1,warrior,C,1,warrior,ROOT,STR,30,1,1,"Defeat 100 opponents without armour, shield or prepared position","Gain Advanced Knowledge (Weapon, Armor, Intimidation, Battle)","Warrior becomes fierce, tough, primal like a force of nature",,L,7,SUGGESTED,
soldier_infantry,Soldier (Infantry),1,warrior,E,1,warrior,ROOT,VAR,30,1,1,"Fight 100 engagements in formation, where your line did not break","Gain Advanced Knowledge ( Weapon, Armor, Battle, Discipline)","Warrior Combines Discipline, coordination and martial skill into one",,L,7,SUGGESTED,
apprentice_ranger,Apprentice Ranger,1,explorer,A,1,explorer,ROOT,AGI,30,1,1,Traverse 100 leagues of unmapped country without resupply or guide,"Gain Advanced Knowledge (Weapon, Armor, Intimidation, Discipline)",The Warrior focuses on his weapon and becomes one with it,,R,7,SUGGESTED,
gunner,Gunner,1,explorer,C,1,explorer,ROOT,PER,30,1,1,"Build, load or repair 10 firearms with your own hands under field conditions","Gain Advanced Knowledge (Weapon, Armor, Intimidation, Battle)","Warrior becomes fierce, tough, primal like a force of nature",,R,7,SUGGESTED,
apprentice_hunter,Apprentice Hunter,1,explorer,E,1,explorer,ROOT,VAR,30,1,1,"Bind, tame or master 10 creatures that would otherwise have killed you","Gain Advanced Knowledge ( Weapon, Armor, Battle, Discipline)","Warrior Combines Discipline, coordination and martial skill into one",,R,7,SUGGESTED,
enlighted_swdman,Enlighted Swdman,2,warrior,A,1,swordman,SLOT_PAIR,,40,2,1,"Defeat 500 opponents using only the blade, refusing every other advantage offered",Weapon Focus Keystone,,,L,11,SUGGESTED,
duelist,Duelist,2,warrior,B,1,swordman,SLOT_PAIR,,40,2,1,"Win 50 duels decided by a single exchange, against armed and willing opponents",Additional Movility Skills,,,L,11,SUGGESTED,
viking,Viking,2,warrior,C,1,barbarian,SLOT_PAIR,,40,2,1,The levels of Combat + Discipline skills when added together sum 35 or above,Gain Combat Skill Levels,,,L,11,SUGGESTED,
bloodfury,BloodFury,2,warrior,D,1,barbarian,SLOT_PAIR,,40,2,1,Win 50 fights after taking a wound that would have ended a lesser combatant,Anti-Monster Keystone,,,L,11,SUGGESTED,
guardsman,Guardsman,2,warrior,E,1,soldier_infantry,SLOT_PAIR,,40,2,1,"Fight 500 engagements in formation, where your line did not break",Defender Keystone,,,L,11,SUGGESTED,
raider,Raider,2,warrior,F,1,soldier_infantry,SLOT_PAIR,,40,2,1,The levels of Combat + Discipline skills when added together sum 35 or above,Gain Combat Skill Levels,,,L,11,SUGGESTED,
justiciar,Justiciar,2,warrior,G,1,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,Settle 50 matters by your own judgement that a lawful authority would have ruled otherwise,Additional Judgement Skills,,,L,11,SUGGESTED,
vagrant,Vagrant,2,warrior,A,2,swordman,SLOT_PAIR,,40,2,1,The levels of Combat + Discipline skills when added together sum 35 or above,Gain Combat Skill Levels,,,L,14,SUGGESTED,
man_at_arms,Man-at-Arms,2,warrior,B,2,swordman,SLOT_PAIR,,40,2,1,PENDING,Multi-Weapon Keystone,,,L,14,PENDING,
cimmerian,Cimmerian,2,warrior,C,2,barbarian,SLOT_PAIR,,40,2,1,Win 50 fights after taking a wound that would have ended a lesser combatant,Ironskin Keystone,,,L,14,SUGGESTED,
totem_warrior,Totem Warrior,2,warrior,D,2,barbarian,SLOT_PAIR,,40,2,1,Commune with 500 spirits without once losing yourself to them,Additional Totem Skills,,,L,14,SUGGESTED,
