perk_id,perk_name,subject,subject_timing,timing_confirmed,bonus_type,confidence,skill,min_level,direct_result_bonus,clause_text,verdict,replacement_text
perk_false_bane,False Bane,social_deception,PRE_ROLL,Y,TRAINING,HIGH,sense_motive,3,,bonus aganist deceptions and bluffs,,
perk_influencer,Influencer,social_influence,PRE_ROLL,Y,MORALE,HIGH,court,1,,your words have the power to inspire people. By preaching or speaking people may be inspired gaining a moral bonus,,
perk_suggestion,Suggestion,social_influence,PRE_ROLL,Y,TRAINING,HIGH,court,5,,"your words have a power to subly steer people toward certain throughts or implant ideas, higher intelligence makes it harder. It lowers the dificulty of suble and disguised interactions",,
perk_flow_of_battle,Flow of Battle,battle_roll,PRE_ROLL,Y,TRAINING,MED,battle,3,,"bonus to large scale battle roll,",,
perk_trap_locks,Trap-Locks,lockpick_roll,PRE_ROLL,Y,TRAINING,MED,lockpick,3,,bonus aganist trapped locks when performing lockpicks,,
perk_rudimentary_wisdom,Rudimentary Wisdom,craft_quality,PRE_ROLL,Y,TERRAIN,HIGH,wilderness,5,,Use Survival skill in order to use natural resource to craft makeshift comodities. Bonus to other skills with natual background such as herbalis,,
perk_stonebreaker,Stonebreaker,minning_roll,PRE_ROLL,Y,TRAINING,MED,minning,3,,Obtain increased resource from surface level minning ( increases in proportional to the base amount),,
perk_tanning,Tanning,craft_quality,PRE_ROLL,Y,TRAINING,HIGH,handcraft_sewing_leather,1,Y,"A bonus to the quality and time of tanning leathers, the quality increases",,
perk_tempering_hack,Tempering Hack,craft_quality,PRE_ROLL,Y,EQUIPMENT,HIGH,craft.metalwork,3,Y,"allows a bonus to repaired weapons, tempering gives weapon temporar bonuses",,
perk_grease_monkey,Grease Monkey,mechanics_roll,PRE_ROLL,Y,TRAINING,LOW,mechanics,1,,Skill Bonus,,
perk_handyman,Handyman,building_simple_building_digging_etc_roll,PRE_ROLL,Y,TRAINING,MED,building_simple_building_digging_etc,1,,Heal a increaed amount of HP from structures,,
perk_image_crystal,Image Crystal,magic_obj_scyring_roll,PRE_ROLL,Y,TRAINING,MED,magic_obj_scyring,1,,its much easier to see imágenes when using a crystal ball for scrying. Bonus when performing any visualization feat with scrying,,
perk_structural_analyst,Structural Analyst,information_gain,PRE_ROLL,Y,TRAINING,LOW,observe,5,,Skill Bonus,,
perk_performer_instruments,Performer (Instruments),perform_roll,PRE_ROLL,Y,TRAINING,LOW,perform.music_instrument,1,,Bonus Skill,,
perk_inspiring_peformance,Inspiring Peformance,social_deception,PRE_ROLL,Y,TRAINING,MED,perform.music_instrument,5,,Boost Allies using music,,
perk_performer_singing,Performer (Singing),perform_roll,PRE_ROLL,Y,TRAINING,LOW,perform.singing,1,,Bonus Skill,,
perk_heartfelt,Heartfelt,perform_roll,PRE_ROLL,Y,TRAINING,MED,perform.singing,7,Y,Transmit emotions more vividly. (Your emotional state offer from +1 to +5 to score and the audience emotion may amplify the effects),,
perk_mana_burn,Mana Burn,piety_roll,PRE_ROLL,Y,MAGIC,LOW,piety,5,,Mana Burn,,
perk_performer_show,Performer (Show),perform_roll,PRE_ROLL,Y,TRAINING,LOW,perform.dancingshow,1,,Bonus Skill,,
perk_delirium,Delirium,perform_roll,PRE_ROLL,Y,TRAINING,LOW,perform.dancingshow,7,,Enter a state of delirium where your performance is greatly enhaced,,
perk_enthraling_artwork,Enthraling Artwork,craft_roll,PRE_ROLL,Y,TRAINING,LOW,craft.drawingpainting,5,,"it captures the user and gives inmersion experience, Buff, Debuff, or scare the user accordingly",,
perk_karmic_balance,Karmic Balance,piety_roll,PRE_ROLL,Y,TRAINING,LOW,piety,1,,Impartial Balance,,
perk_blessed,Blessed,piety_roll,PRE_ROLL,Y,TRAINING,LOW,piety,3,,Inner Light,,
perk_zeal,Zeal,piety_roll,PRE_ROLL,Y,TRAINING,LOW,piety,7,,Conviction -,,
perk_other_faces,Other Faces,craft_quality,PRE_ROLL,Y,TRAINING,HIGH,acting,1,Y,increases quality and detail of disguises. Add +5 to disguise base score,,
perk_compelling_acting,Compelling Acting,social_deception,PRE_ROLL,Y,TRAINING,HIGH,acting,5,,"your acting perfomance is capable of moving the hearts of people, its tear jerker or vivid. Increases the believability of your acting on the public, it increases effect depending on play",,
perk_cook,Cook,cooking_roll,PRE_ROLL,Y,TRAINING,LOW,cooking,1,,Skill Bonus -,,
perk_cattle_care,Cattle Care,farming_roll,PRE_ROLL,Y,EQUIPMENT,LOW,farming,3,,your care has incresed effects on the cattle,,
perk_enemy_sonar,Enemy Sonar,alert_roll,PRE_ROLL,Y,TRAINING,LOW,alert,3,,Increases Area,,
perk_quality_crops,Quality Crops,craft_quality,PRE_ROLL,Y,EQUIPMENT,LOW,farming,7,,Increses the base quality of crops,,
perk_vaulter,Vaulter,athletism_roll,PRE_ROLL,Y,TRAINING,LOW,athletism,5,,Jump Distance Up,,
perk_artisan_food,Artisan Food,farming_roll,PRE_ROLL,Y,TRAINING,LOW,farming,1,,"offer a correction value on creating a single item of artisan foods stuff category such as beer, winemaking, honey and other produce",,
perk_food_worker,Food Worker,farming_roll,PRE_ROLL,Y,TRAINING,LOW,farming,3,,Skill Bonus -,,
perk_quality_craft,Quality Craft,craft_quality,PRE_ROLL,Y,TRAINING,HIGH,farming,5,Y,Increases quality of produced foodstuff,,
perk_animal_magnetism,Animal Magnetism,animal_empathy_roll,PRE_ROLL,Y,TRAINING,LOW,animal_empathy,1,,Skill Bonus -,,
perk_animal_understanding,Animal Understanding,animal_empathy_roll,PRE_ROLL,Y,TRAINING,LOW,animal_empathy,3,,"your comunication with animals is upgraded, they can follow simple instructions",,
perk_feroucious_loyalty,Feroucious Loyalty,initiative,PRE_ROLL,Y,TRAINING,HIGH,animal_empathy,5,,"your animal companions will be boosted when defending you, they will also take the initiative to protect you",,
perk_long_range,Long Range,projectile_weapons_handling_roll,PRE_ROLL,Y,TRAINING,MED,projectile_weapons_handling,7,,Long Range Shoot - Increases Range,,
perk_learned,Learned,knowledge_specific_roll,PRE_ROLL,Y,TRAINING,LOW,knowledge_specific,3,,Skill Bonus -,,
perk_green_purity,Green Purity,nature_focus_roll,PRE_ROLL,Y,NATURAL,LOW,nature_focus,3,,you are endowed with natural's blessings and your body is stronger aganist external ills such as poison and other forms of natural hazzards.,,
perk_inspector,Inspector,investigation_roll,PRE_ROLL,Y,TRAINING,LOW,investigation,3,,Skill Bonus -,,
perk_tame_specialist,Tame Specialist,farming_roll,PRE_ROLL,Y,MAGIC,MED,farming,5,,you have a bonus toward a single type of creature when dealing in control and management.,,
perk_trap_sence,Trap-Sence,trapper_roll,PRE_ROLL,Y,TRAINING,MED,trapper,5,,Bonus Dismantle Trap -,,
perk_green_thumb,Green Thumb,herbalism_roll,PRE_ROLL,Y,TRAINING,LOW,herbalism,1,,Skill Bonus -,,
perk_keen_hearing,Keen Hearing,heightened_senses_roll,PRE_ROLL,Y,TRAINING,LOW,heightened_senses,1,,Bonus Sense: Ear,,
perk_harvester,Harvester,dismantle_roll,PRE_ROLL,Y,TRAINING,LOW,dismantle,3,,Skill Bonus -,,
perk_old_way_gourmet,Old Way Gourmet,craft_quality,PRE_ROLL,Y,TRAINING,LOW,dismantle,7,Y,obtain quality booty,,
perk_targetting,Targetting,tracking_roll,PRE_ROLL,Y,TRAINING,LOW,tracking,1,,Skill Bonus -,,
perk_occult_fan,Occult Fan,formal_magics_roll,PRE_ROLL,Y,TRAINING,LOW,formal_magics,3,,Skill Bonus -,,
perk_treasure_hunter,Treasure Hunter,dungeoneer_roll,PRE_ROLL,Y,TRAINING,MED,dungeoneer,5,,"you now how to get the most out of a dungeon exploration, you increase the loot from the dungeon. In any roll between traps or rewards mechanism you get a second roll",,
perk_labyrinth_breaker,Labyrinth Breaker,dungeoneer_roll,PRE_ROLL,Y,NATURAL,MED,dungeoneer,7,Y,"you never get lost in a labyrinth or any maze, you have a extra +5 when dealing with physical mazes and other confusing architecture,",,
perk_magic_analyst,Magic Analyst,information_gain,PRE_ROLL,Y,MAGIC,LOW,spellcraft,3,,Skill Bonus -,,
perk_star_reader,Star Reader,astrology_roll,PRE_ROLL,Y,TRAINING,LOW,astrology,3,,Skill Bonus -,,
perk_long_walker,Long Walker,wayfarer_roll,PRE_ROLL,Y,TRAINING,LOW,wayfarer,3,,Skill bonus -,,
perk_experienced_rider,Experienced Rider,riding_roll,PRE_ROLL,Y,TRAINING,LOW,riding,3,,Skill bonus -,,
