id,name,subject,subject_suggested,family,family_suggested,tier,tier_suggested,bonus_category,bonus_type,text,exclusions,counterweight,enhanced_threshold,enhanced_text
perk_scarecrow,Scarecrow,,cha_appearance,,,,,,,"Damn!, you are scary, your whole deamenor gives you that dangerous look and ungodly aura, and it can be a really useful sometimes",,,120,
perk_harmless_fatale,Harmless Fatale,,cha_appearance,,FLAT_BONUS,,,,,"Despite your clear lack of charisma, you project a clear aura and image of begin has deadly as a hamster, this triggers protective instincts from people of the ""oposite sex"" which can be good or bad depending on the circumstance (bad beucase you look unreliable and good beucase you can inspire protective instincts), however anyone that falls into this image/prejudice actively will grant the user a circumstance bonus. its applied to both social and non-social bases circumstances, even a sneak attack will add a bonus. CANNOT be taken with Scarecrow Anti-Perk",,,110,
perk_threatening_presence,Threatening Presence,,cha_appearance,,,,,,,"You look as someone who is dangerous, perhaps a thug, perhaps a criminal or a madman ready to stab someone, in simple terms no one wants to be near you by simple fear of you freaking out in public, even animals will react accordingly and guards will often stop you to ask about your business",,,100,
perk_innocently_insensitive,Innocently Insensitive,,cha_empathy,,FLAT_BONUS,,,,,"a Flawled capacity for emphaty in the ability to detect, decipher and comprehend emotion may be a blessing in disguise, you have a natural resistance toward charisma based attacks such as war cry, intimidation and charm",,,120,
perk_unbeliveable,Unbeliveable,,cha_empathy,,,,,,,"You try your hardest to tell someone the truth but you simply and plainly are rather shady looking and with face saying that ""im a scammer"",  you are simply unbelibeable but this can work on your advantage as people will regard you as a uncertain factor",,,110,
perk_natural_menace,Natural Menace,,cha_empathy,,SUBSTITUTION,,,,,"you project THAT image, you look shady as hell, as if you are scheming something, you are clearly the villian in people's eye. You gain natural reputation toward the vilified and rejections of society, your charisma works as if it was much higher",,,100,
perk_motormouth,Motormouth,,cha_communication,,,,,,,"you speak unnaturally fast, you mouth also moves before you think!, its easy to screw things up but in exchange you reduce the time used for the ""Verbal"" component of most actions, any pure verbal action will be reduced in execution by 60%, while any action with a partial verbal component is reduced by 30% in average.",,,120,
perk_noise_cancel,Noise Cancel,,cha_communication,,,,,,,"Your words have a particular tone and accent which people find annoying, its like a screech in the background or a white noise that plays as you talk. However, your mouth has the power to cancel other charisma attacks or intercept sound based debacles. You got a group falling asleep for a hypnotic lullaby, then just talk normally and the effect will dminish or be cancelled altogether",,,110,
perk_the_bore,The Bore,,cha_communication,,,,,,,"This is a person whose conversation is so dull, you would rather watch paint dry for an hour than listen to them for a minute. This works like a charm as a Charisma based attack toward the ""Willpower"" attribute, temporarily reducing the enemy attribute and even softening any mental resilence by lowering the awareness",,,100,
perk_whisperer_chain,Whisperer Chain,,cha_silence,,SUBSTITUTION,,,,,"your words lose power the more you talk, anything more than 5 words makes your words become weak and dilluited as if your voice was drowned into a whisper.",,,120,
perk_silence_is_gold,Silence is Gold,,cha_silence,,,,,,,"When you are silent and not moving, you produce a special charisma based aura effect, this aura effect varies according to the other people mood, in other words, some people will see the person as scary and some will feel him begin imposing, while others will feel presured, its all in the imagination of the onlooker, however, the mood in the room will affect this effect in great measure. A character with high willpower score 350+ are inmune to this effect. This effect is mantained as long as the user is silent and his actions work in line with the target perception",,,110,
perk_stone_mask,Stone Mask,,cha_silence,,,,,,,"Your face is disconected from your emotional side just enough so it becomes your personal trademark. your heart burns but your face never shows, this leads to a heightened dificulty on ""Sense motive"" against you and other skill that read the character mood a severe penalty to skills used to express your emotions",,,100,
perk_stereotyping,Stereotyping,,cha_prejudice,,FLAT_BONUS,,,,,"Whenever you can fall into a stereotype your mark believes in (such as that orcs are brutal and cruel, women are scared and helpless, or that halflings are all thieves, etc.), you end up fitting and flowing with it thus againing advantage in social instances.  This bonus is not cumulative if several prejudices can be used at once. For example, if your mark believes that halflings are scared and helpless, and that women are also scared and helpless you will only gain one single prejudice type even if you have both qualities (woman and halfling in the example). but this breaks once you take a clear action that defies this notion.",,,120,
perk_clown_ears,Clown Ears,,cha_prejudice,,,,,,,"you apear to be a natural clown in your responses and deamenor, and due to your low charisma this makes others perceive you as a joke. However in exchange people will become talkactive and easily confide in you, sometimes beyond their own will",,,110,
perk_karmic_hideout,Karmic Hideout,,cha_prejudice,,,,,,,"you have such low charisma and your actions are so clearly directed with prejudice that they hide a single truth: your alignment becomes obscured, and it cannot be exactly judged from your actions. With the exception of clear cut actions such as murder most people will classify you as morally grey and have different views on your alignment and general disposition, this not only obscures the alignment itself but also some traits such as a killer bloodlust or a paladin goodness",,,100,
perk_dangerous_atraction,Dangerous Atraction,,cha_magnetism,,,,,,,"You tend to attract the attention of the wrong crowd, and even when doing nothing will become socially interwited with people of questionable nature and dangerous inclination",,,120,
perk_bland,Bland,,cha_magnetism,,FLAT_BONUS,,,,,"You have no features, no distinctive presence you are almost forgeteable, and this can become a blessing to you. Bland makes the user hard to identify and easily pass unnoticed when walking in a crowd. You gain a  passive stealth bonus when moving  in a group of people, moreover, you add a hard penalty to identify or mark you",,,110,
perk_innate_troll,Innate Troll,,cha_magnetism,,,,,,,"you easily speak the wrong things and have the uncanny nature to call into social problems, you will make exactly the wrong comment at the wrong time, and sometimes unknownly you will simply step on the proverbial dragons tail just by doing something completly mundane, its a curse and sometimes a boon",,,100,
perk_freakshow,Freakshow,,cha_appearance,,,,,,,"You cause natural aphaty and rejection from people, its not nesesarily your looks but also you deamenor and voice, all of it composes a very misleading image to the point where you would rather speak behind a curtain. You have a natural ""Aggro"" aura that confuses and drives anyone to be hostile toward you, this is not applicable to ""declared allies"" or allies who can identify the user, but most neutral units will be confused and disconserted",,,,
perk_sociophaty_for_fun,Sociophaty for Fun,,cha_empathy,,,,,,,??????,,,,
perk_gargoyle_mumbling,Gargoyle Mumbling,,cha_communication,,,,,,,??????,,,,
perk_silent_accomplice,Silent Accomplice,,cha_silence,,,,,,,?????,,,,
perk_almost_faceless,Almost Faceless,,cha_prejudice,,,,,,,??????,,,,
perk_storm_caller,Storm Caller,,cha_magnetism,,,,,,,????,,,,
perk_bracing_stance,Bracing Stance,block,,FLAT_BONUS,,INTERMEDIATE,,ABILITY,ARMOR,Your guard holds at the same strength whether you are planted or advancing.,,,,
perk_shield_wall,Shield Wall,block,,COVERAGE,,INTERMEDIATE,,,,Your guard extends to one adjacent ally who is also holding position.,"The ally gains cover, not your defence bonus, and you may not move while the wall holds.",You may not move under your own initiative while the wall holds.,,
perk_deflective_guard,Deflective Guard,block,,COVERAGE,,ADVANCED,,,,"Your block retains its full stopping power, and may additionally turn incoming force aside so the attacker carries their own momentum.","Redirection does not grant another block or a counterattack, and cannot redirect what the parent block could not legally stop.",,,
perk_committed_swing,Committed Swing,damage,,THRESHOLD,,INTERMEDIATE,,ABILITY,TRAINING,The penalty for striking in the same turn you moved is substantially reduced.,,,,
perk_quickdraw,Quickdraw,initiative,,PERMISSION,,INTERMEDIATE,,,,"You may strike directly from a sheathed weapon, and act earlier for having done so.","The first strike of an encounter only. No extra attack, no bonus to the strike itself.",,,
perk_crushing_followthrough,Crushing Follow-through,damage,,COVERAGE,,INTERMEDIATE,,,,A blow that lands hard enough carries into a second target directly behind the first.,"One additional target directly behind the first. Not a cleave, and never applies to thrusting weapons.",,,
perk_sundering_blow,Sundering Blow,damage,,THRESHOLD,,ADVANCED,,ABILITY,TRAINING,"Your heavy blade keeps the reach and force it already had, and armour is now treated as substantially lower against it.","Armour only. Shields, wards, natural hide and magical protection are unaffected. No new attack is created.",,,
perk_refusal,Refusal,resistance_mental,,RELIABILITY,,INTERMEDIATE,,,,Fear and pressure that would break composure are set aside without a roll while you still stand.,,,,
perk_last_stand,Last Stand,vitality,,THRESHOLD,,ADVANCED,,ABILITY,NATURAL,"You keep the composure and grounding the line already gave you, and when a wound would put you down you remain standing one further round, free of wound penalties, before the fall resolves.","One round, once per encounter. No healing, no death prevention, no protection for allies. The fall still happens.",At the end of that round the accumulated consequence lands in full; recovery afterwards is slower.,,
